,apply,target,environment,block,subject,walklength,initial_contact_time,mean_error,std_error,maintain_total_frame,target_on_frame,target_on_rate,target_in_count,total_target_on_time,mean_target_on_time,dwell_success_frame_0.1,dwell_success_count_0.1,first_dwell_0.1,mean_angular_speed_0.1,dwell_success_frame_0.2,dwell_success_count_0.2,first_dwell_0.2,mean_angular_speed_0.2,dwell_success_frame_0.3,dwell_success_count_0.3,first_dwell_0.3,mean_angular_speed_0.3,dwell_success_frame_0.4,dwell_success_count_0.4,first_dwell_0.4,mean_angular_speed_0.4,dwell_success_frame_0.5,dwell_success_count_0.5,first_dwell_0.5,mean_angular_speed_0.5,dwell_success_frame_0.6,dwell_success_count_0.6,first_dwell_0.6,mean_angular_speed_0.6,dwell_success_frame_0.7,dwell_success_count_0.7,first_dwell_0.7,mean_angular_speed_0.7,dwell_success_frame_0.8,dwell_success_count_0.8,first_dwell_0.8,mean_angular_speed_0.8,dwell_success_frame_0.9,dwell_success_count_0.9,first_dwell_0.9,mean_angular_speed_0.9,dwell_success_frame_1.0,dwell_success_count_1.0,first_dwell_1.0,mean_angular_speed_1.0,dwell_success_frame_1.1,dwell_success_count_1.1,first_dwell_1.1,mean_angular_speed_1.1,dwell_success_frame_1.2,dwell_success_count_1.2,first_dwell_1.2,mean_angular_speed_1.2,dwell_success_frame_1.3,dwell_success_count_1.3,first_dwell_1.3,mean_angular_speed_1.3,dwell_success_frame_1.4,dwell_success_count_1.4,first_dwell_1.4,mean_angular_speed_1.4,dwell_success_frame_1.5,dwell_success_count_1.5,first_dwell_1.5,mean_angular_speed_1.5
0,rolling_average5,0,U,1,1,5.697321001,2.4118600000001607,0.06960770681777824,0.5569609116502866,245,7,2.857142857142857,8,3.9452599999997346,0.49315749999996683,238,4,2.444940000000088,11.942866188441936,238,4,2.444940000000088,11.942866188441936,220,3,2.444940000000088,10.909836052760632,199,2,2.444940000000088,12.781357804765118,199,2,2.444940000000088,12.781357804765118,199.0,2.0,2.444940000000088,12.781357804765118,199.0,2.0,2.444940000000088,12.781357804765118,199.0,2.0,2.444940000000088,12.781357804765118,199.0,2.0,2.444940000000088,12.781357804765118,143.0,1.0,3.411250000000109,14.599153337769751,143.0,1.0,3.411250000000109,14.599153337769751,143.0,1.0,3.411250000000109,14.599153337769751,143.0,1.0,3.411250000000109,14.599153337769751,143.0,1.0,3.411250000000109,14.599153337769751,143.0,1.0,3.411250000000109,14.599153337769751
1,rolling_average10,0,U,1,1,5.697321001,3.411250000000109,0.07005090106011017,0.5747658268613143,185,7,3.783783783783784,6,2.9792099999999664,0.4965349999999944,178,3,3.4445800000000872,12.329080067285567,178,3,3.4445800000000872,12.329080067285567,163,2,3.4445800000000872,11.185815604551564,141,1,3.4445800000000872,14.215439424502295,141,1,3.4445800000000872,14.215439424502295,141.0,1.0,3.4445800000000872,14.215439424502295,141.0,1.0,3.4445800000000872,14.215439424502295,141.0,1.0,3.4445800000000872,14.215439424502295,141.0,1.0,3.4445800000000872,14.215439424502295,141.0,1.0,3.4445800000000872,14.215439424502295,141.0,1.0,3.4445800000000872,14.215439424502295,141.0,1.0,3.4445800000000872,14.215439424502295,141.0,1.0,3.4445800000000872,14.215439424502295,141.0,1.0,3.4445800000000872,14.215439424502295,141.0,1.0,3.4445800000000872,14.215439424502295
2,rolling_average15,0,U,1,1,5.697321001,5.708860000000186,0.03654451379498852,0.28897524068299474,47,4,8.51063829787234,3,0.733529999999746,0.24450999999991532,43,2,5.725100000000111,14.737021918021096,32,1,5.725100000000111,11.775096623819271,32,1,5.725100000000111,11.775096623819271,32,1,5.725100000000111,11.775096623819271,32,1,5.725100000000111,11.775096623819271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,rolling_average20,0,U,1,1,5.697321001,3.526980000000094,0.056134862428691985,0.5809901306742288,178,8,4.49438202247191,5,2.880629999999883,0.5761259999999766,170,3,3.544679999999971,12.843245410229263,161,2,3.544679999999971,11.449361827741937,161,2,3.544679999999971,11.449361827741937,161,2,3.544679999999971,11.449361827741937,132,1,3.544679999999971,13.607659595185225,132.0,1.0,3.544679999999971,13.607659595185225,132.0,1.0,3.544679999999971,13.607659595185225,132.0,1.0,3.544679999999971,13.607659595185225,132.0,1.0,3.544679999999971,13.607659595185225,132.0,1.0,3.544679999999971,13.607659595185225,132.0,1.0,3.544679999999971,13.607659595185225,132.0,1.0,3.544679999999971,13.607659595185225,132.0,1.0,3.544679999999971,13.607659595185225,132.0,1.0,3.544679999999971,13.607659595185225,132.0,1.0,3.544679999999971,13.607659595185225
4,rolling_average25,0,U,1,1,5.697321001,1.89612000000011,0.0398996739436032,0.5354410334082745,276,2,0.7246376811594203,2,4.562149999999974,2.281074999999987,274,1,1.9461600000001908,13.084377127634335,274,1,1.9461600000001908,13.084377127634335,274,1,1.9461600000001908,13.084377127634335,274,1,1.9461600000001908,13.084377127634335,274,1,1.9461600000001908,13.084377127634335,274.0,1.0,1.9461600000001908,13.084377127634335,274.0,1.0,1.9461600000001908,13.084377127634335,274.0,1.0,1.9461600000001908,13.084377127634335,274.0,1.0,1.9461600000001908,13.084377127634335,274.0,1.0,1.9461600000001908,13.084377127634335,274.0,1.0,1.9461600000001908,13.084377127634335,274.0,1.0,1.9461600000001908,13.084377127634335,274.0,1.0,1.9461600000001908,13.084377127634335,274.0,1.0,1.9461600000001908,13.084377127634335,274.0,1.0,1.9461600000001908,13.084377127634335
5,rolling_average30,0,U,1,1,5.697321001,1.9124699999999848,0.04264624911566991,0.5344658894188283,275,4,1.4545454545454546,2,4.545970000000125,2.2729850000000624,271,1,1.9954099999999926,13.150585603794013,271,1,1.9954099999999926,13.150585603794013,271,1,1.9954099999999926,13.150585603794013,271,1,1.9954099999999926,13.150585603794013,271,1,1.9954099999999926,13.150585603794013,271.0,1.0,1.9954099999999926,13.150585603794013,271.0,1.0,1.9954099999999926,13.150585603794013,271.0,1.0,1.9954099999999926,13.150585603794013,271.0,1.0,1.9954099999999926,13.150585603794013,271.0,1.0,1.9954099999999926,13.150585603794013,271.0,1.0,1.9954099999999926,13.150585603794013,271.0,1.0,1.9954099999999926,13.150585603794013,271.0,1.0,1.9954099999999926,13.150585603794013,271.0,1.0,1.9954099999999926,13.150585603794013,271.0,1.0,1.9954099999999926,13.150585603794013
6,rolling_average35,0,U,1,1,5.697321001,1.9290800000001127,0.045265464842215074,0.5336727904245746,274,4,1.4598540145985401,2,4.5285399999997935,2.2642699999998968,270,1,2.0124100000000453,13.175320978206749,270,1,2.0124100000000453,13.175320978206749,270,1,2.0124100000000453,13.175320978206749,270,1,2.0124100000000453,13.175320978206749,270,1,2.0124100000000453,13.175320978206749,270.0,1.0,2.0124100000000453,13.175320978206749,270.0,1.0,2.0124100000000453,13.175320978206749,270.0,1.0,2.0124100000000453,13.175320978206749,270.0,1.0,2.0124100000000453,13.175320978206749,270.0,1.0,2.0124100000000453,13.175320978206749,270.0,1.0,2.0124100000000453,13.175320978206749,270.0,1.0,2.0124100000000453,13.175320978206749,270.0,1.0,2.0124100000000453,13.175320978206749,270.0,1.0,2.0124100000000453,13.175320978206749,270.0,1.0,2.0124100000000453,13.175320978206749
7,rolling_average40,0,U,1,1,5.697321001,1.9124699999999848,0.04264624911566991,0.5344658894188283,275,4,1.4545454545454546,2,4.545970000000125,2.2729850000000624,271,1,1.9954099999999926,13.150585603794013,271,1,1.9954099999999926,13.150585603794013,271,1,1.9954099999999926,13.150585603794013,271,1,1.9954099999999926,13.150585603794013,271,1,1.9954099999999926,13.150585603794013,271.0,1.0,1.9954099999999926,13.150585603794013,271.0,1.0,1.9954099999999926,13.150585603794013,271.0,1.0,1.9954099999999926,13.150585603794013,271.0,1.0,1.9954099999999926,13.150585603794013,271.0,1.0,1.9954099999999926,13.150585603794013,271.0,1.0,1.9954099999999926,13.150585603794013,271.0,1.0,1.9954099999999926,13.150585603794013,271.0,1.0,1.9954099999999926,13.150585603794013,271.0,1.0,1.9954099999999926,13.150585603794013,271.0,1.0,1.9954099999999926,13.150585603794013
8,rolling_average5,0,W,1,1,6.30616506736,0.7153830000000028,0.12310770077748645,0.5147010468438746,347,286,82.42074927953891,21,5.425995,0.2583807142857143,312,12,0.7314000000000078,14.29470817094605,276,8,0.7314000000000078,14.510892337579778,236,5,1.714507999999995,17.046228233083493,236,5,1.714507999999995,17.046228233083493,185,3,1.714507999999995,16.481846706048703,185.0,3.0,1.714507999999995,16.481846706048703,148.0,2.0,1.714507999999995,16.941315343537724,148.0,2.0,1.714507999999995,16.941315343537724,148.0,2.0,1.714507999999995,16.941315343537724,148.0,2.0,1.714507999999995,16.941315343537724,87.0,1.0,4.545563000000016,18.629299603734157,87.0,1.0,4.545563000000016,18.629299603734157,87.0,1.0,4.545563000000016,18.629299603734157,87.0,1.0,4.545563000000016,18.629299603734157,,,,
9,rolling_average10,0,W,1,1,6.30616506736,0.7819060000000206,0.12362105301633118,0.5176282324128935,343,292,85.13119533527697,15,5.459510000000023,0.36396733333333486,333,12,0.7987060000000099,13.534336307048227,289,7,1.2151340000000062,15.375012138052416,261,5,1.7480620000000044,17.471805120514446,239,4,1.7480620000000044,16.620732078215248,210,3,1.7480620000000044,17.254899298845398,178.0,2.0,1.7480620000000044,17.352876367259107,178.0,2.0,1.7480620000000044,17.352876367259107,178.0,2.0,1.7480620000000044,17.352876367259107,178.0,2.0,1.7480620000000044,17.352876367259107,178.0,2.0,1.7480620000000044,17.352876367259107,115.0,1.0,4.595459000000005,19.791225237891457,115.0,1.0,4.595459000000005,19.791225237891457,115.0,1.0,4.595459000000005,19.791225237891457,115.0,1.0,4.595459000000005,19.791225237891457,115.0,1.0,4.595459000000005,19.791225237891457
10,rolling_average15,0,W,1,1,6.30616506736,0.83148300000002,0.12443841255829514,0.5198354526237755,340,288,84.70588235294117,11,5.477856000000031,0.4979869090909119,322,7,0.8484650000000045,15.202794327024685,303,5,1.0150610000000029,16.393022911763754,303,5,1.0150610000000029,16.393022911763754,284,4,1.0150610000000029,14.945475074882427,256,3,1.4819490000000144,16.607549173436585,256.0,3.0,1.4819490000000144,16.607549173436585,256.0,3.0,1.4819490000000144,16.607549173436585,256.0,3.0,1.4819490000000144,16.607549173436585,256.0,3.0,1.4819490000000144,16.607549173436585,256.0,3.0,1.4819490000000144,16.607549173436585,195.0,2.0,1.4819490000000144,16.954936233675543,195.0,2.0,1.4819490000000144,16.954936233675543,195.0,2.0,1.4819490000000144,16.954936233675543,113.0,1.0,4.629502000000002,19.76605561202238,113.0,1.0,4.629502000000002,19.76605561202238
11,rolling_average20,0,W,1,1,6.30616506736,0.8993990000000167,0.12470270456448398,0.5228545058401818,336,298,88.69047619047619,7,5.481446000000034,0.7830637142857191,330,6,0.9152679999999975,13.208727946475276,319,5,0.9152679999999975,14.609657585849188,304,4,1.1648830000000032,14.936486541923006,283,3,1.5150910000000124,17.027521003568655,283,3,1.5150910000000124,17.027521003568655,283.0,3.0,1.5150910000000124,17.027521003568655,283.0,3.0,1.5150910000000124,17.027521003568655,283.0,3.0,1.5150910000000124,17.027521003568655,283.0,3.0,1.5150910000000124,17.027521003568655,283.0,3.0,1.5150910000000124,17.027521003568655,221.0,2.0,1.5150910000000124,17.457129208923828,221.0,2.0,1.5150910000000124,17.457129208923828,221.0,2.0,1.5150910000000124,17.457129208923828,221.0,2.0,1.5150910000000124,17.457129208923828,221.0,2.0,1.5150910000000124,17.457129208923828
12,rolling_average25,0,W,1,1,6.30616506736,1.048905000000019,0.12187684114393074,0.5296920811400269,327,300,91.74311926605505,5,5.364864000000011,1.0729728000000023,327,5,1.0647590000000093,11.837866337828654,310,3,1.2151340000000062,14.380541928121636,310,3,1.2151340000000062,14.380541928121636,291,2,1.5305330000000197,16.76563239472624,291,2,1.5305330000000197,16.76563239472624,291.0,2.0,1.5305330000000197,16.76563239472624,291.0,2.0,1.5305330000000197,16.76563239472624,291.0,2.0,1.5305330000000197,16.76563239472624,291.0,2.0,1.5305330000000197,16.76563239472624,291.0,2.0,1.5305330000000197,16.76563239472624,291.0,2.0,1.5305330000000197,16.76563239472624,291.0,2.0,1.5305330000000197,16.76563239472624,291.0,2.0,1.5305330000000197,16.76563239472624,291.0,2.0,1.5305330000000197,16.76563239472624,291.0,2.0,1.5305330000000197,16.76563239472624
13,rolling_average30,0,W,1,1,6.30616506736,1.114654999999999,0.11690324975542635,0.5307503350790973,323,301,93.18885448916409,5,5.296661,1.0593322,323,5,1.1314700000000073,11.251244060636111,308,3,1.2645270000000153,14.598488560691885,293,2,1.5150910000000124,16.725553477704114,293,2,1.5150910000000124,16.725553477704114,293,2,1.5150910000000124,16.725553477704114,293.0,2.0,1.5150910000000124,16.725553477704114,293.0,2.0,1.5150910000000124,16.725553477704114,293.0,2.0,1.5150910000000124,16.725553477704114,293.0,2.0,1.5150910000000124,16.725553477704114,293.0,2.0,1.5150910000000124,16.725553477704114,293.0,2.0,1.5150910000000124,16.725553477704114,293.0,2.0,1.5150910000000124,16.725553477704114,293.0,2.0,1.5150910000000124,16.725553477704114,293.0,2.0,1.5150910000000124,16.725553477704114,293.0,2.0,1.5150910000000124,16.725553477704114
14,rolling_average35,0,W,1,1,6.30616506736,1.181383000000011,0.10492499325843362,0.5228424666416595,319,303,94.98432601880877,5,5.231404000000026,1.0462808000000052,311,3,1.2983250000000055,14.774788047147107,311,3,1.2983250000000055,14.774788047147107,297,2,1.5305330000000197,16.56182034366843,297,2,1.5305330000000197,16.56182034366843,297,2,1.5305330000000197,16.56182034366843,297.0,2.0,1.5305330000000197,16.56182034366843,297.0,2.0,1.5305330000000197,16.56182034366843,297.0,2.0,1.5305330000000197,16.56182034366843,297.0,2.0,1.5305330000000197,16.56182034366843,297.0,2.0,1.5305330000000197,16.56182034366843,297.0,2.0,1.5305330000000197,16.56182034366843,297.0,2.0,1.5305330000000197,16.56182034366843,297.0,2.0,1.5305330000000197,16.56182034366843,297.0,2.0,1.5305330000000197,16.56182034366843,297.0,2.0,1.5305330000000197,16.56182034366843
15,rolling_average40,0,W,1,1,6.30616506736,1.3150180000000091,0.076832416438985,0.4984441819306258,311,294,94.53376205787781,5,5.096265000000017,1.0192530000000033,304,3,1.3485720000000185,14.803575804267652,293,2,1.5305330000000197,16.73918256138272,293,2,1.5305330000000197,16.73918256138272,293,2,1.5305330000000197,16.73918256138272,293,2,1.5305330000000197,16.73918256138272,293.0,2.0,1.5305330000000197,16.73918256138272,293.0,2.0,1.5305330000000197,16.73918256138272,293.0,2.0,1.5305330000000197,16.73918256138272,293.0,2.0,1.5305330000000197,16.73918256138272,293.0,2.0,1.5305330000000197,16.73918256138272,293.0,2.0,1.5305330000000197,16.73918256138272,293.0,2.0,1.5305330000000197,16.73918256138272,293.0,2.0,1.5305330000000197,16.73918256138272,293.0,2.0,1.5305330000000197,16.73918256138272,293.0,2.0,1.5305330000000197,16.73918256138272
16,rolling_average45,0,W,1,1,6.30616506736,1.3811040000000219,0.06712262257929184,0.4942994069082978,307,297,96.74267100977198,3,5.061925000000031,1.6873083333333436,307,3,1.39910900000001,13.562963742317995,297,2,1.39910900000001,16.757597621105585,297,2,1.39910900000001,16.757597621105585,297,2,1.39910900000001,16.757597621105585,297,2,1.39910900000001,16.757597621105585,297.0,2.0,1.39910900000001,16.757597621105585,297.0,2.0,1.39910900000001,16.757597621105585,297.0,2.0,1.39910900000001,16.757597621105585,297.0,2.0,1.39910900000001,16.757597621105585,297.0,2.0,1.39910900000001,16.757597621105585,297.0,2.0,1.39910900000001,16.757597621105585,297.0,2.0,1.39910900000001,16.757597621105585,297.0,2.0,1.39910900000001,16.757597621105585,297.0,2.0,1.39910900000001,16.757597621105585,297.0,2.0,1.39910900000001,16.757597621105585
17,rolling_average50,0,W,1,1,6.30616506736,1.4485320000000002,0.061606993369523605,0.4947972509543219,303,292,96.36963696369637,5,4.96302399999999,0.9926047999999981,300,4,1.4655460000000176,13.328496953036325,292,3,1.4655460000000176,15.440936454773132,279,2,1.730622000000011,16.953579874969066,279,2,1.730622000000011,16.953579874969066,279,2,1.730622000000011,16.953579874969066,279.0,2.0,1.730622000000011,16.953579874969066,279.0,2.0,1.730622000000011,16.953579874969066,279.0,2.0,1.730622000000011,16.953579874969066,279.0,2.0,1.730622000000011,16.953579874969066,279.0,2.0,1.730622000000011,16.953579874969066,279.0,2.0,1.730622000000011,16.953579874969066,279.0,2.0,1.730622000000011,16.953579874969066,279.0,2.0,1.730622000000011,16.953579874969066,279.0,2.0,1.730622000000011,16.953579874969066,279.0,2.0,1.730622000000011,16.953579874969066
18,rolling_average55,0,W,1,1,6.30616506736,1.4819490000000144,0.06114404737826711,0.4964046636158843,301,295,98.00664451827242,3,4.961422999999996,1.6538076666666655,295,2,1.4984290000000158,16.569374705178397,295,2,1.4984290000000158,16.569374705178397,295,2,1.4984290000000158,16.569374705178397,295,2,1.4984290000000158,16.569374705178397,295,2,1.4984290000000158,16.569374705178397,295.0,2.0,1.4984290000000158,16.569374705178397,295.0,2.0,1.4984290000000158,16.569374705178397,295.0,2.0,1.4984290000000158,16.569374705178397,295.0,2.0,1.4984290000000158,16.569374705178397,295.0,2.0,1.4984290000000158,16.569374705178397,295.0,2.0,1.4984290000000158,16.569374705178397,295.0,2.0,1.4984290000000158,16.569374705178397,295.0,2.0,1.4984290000000158,16.569374705178397,295.0,2.0,1.4984290000000158,16.569374705178397,295.0,2.0,1.4984290000000158,16.569374705178397
19,rolling_average60,0,W,1,1,6.30616506736,1.5480500000000177,0.06151289585709984,0.4997058437648278,297,295,99.32659932659934,3,4.895171000000005,1.6317236666666683,295,2,1.564942000000002,16.439195357867504,295,2,1.564942000000002,16.439195357867504,295,2,1.564942000000002,16.439195357867504,295,2,1.564942000000002,16.439195357867504,295,2,1.564942000000002,16.439195357867504,295.0,2.0,1.564942000000002,16.439195357867504,295.0,2.0,1.564942000000002,16.439195357867504,295.0,2.0,1.564942000000002,16.439195357867504,295.0,2.0,1.564942000000002,16.439195357867504,295.0,2.0,1.564942000000002,16.439195357867504,295.0,2.0,1.564942000000002,16.439195357867504,295.0,2.0,1.564942000000002,16.439195357867504,295.0,2.0,1.564942000000002,16.439195357867504,295.0,2.0,1.564942000000002,16.439195357867504,295.0,2.0,1.564942000000002,16.439195357867504
