,Unnamed: 0,subject_num,repetition,target_num,mean_offset,std_offset,overall_mean_offset,overall_std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,mean_abs_offset_horizontal,mean_abs_offset_vertical,std_abs_offset_horizontal,std_abs_offset_vertical,longest_dwell_time,movement_length,walking_speed
Unnamed: 0,1.0,2.1332880074176248e-16,0.32905373805094806,0.027637916154253962,0.13546194954644622,0.12316338665700781,0.2621179880965779,0.2462651069669879,0.14554388157898004,-0.019902942793763777,-0.04155472301737843,-0.013553431601572621,-0.032652167088117176,-0.16611502355868576,0.21141684349707496,-0.08939580830991861,0.1711380511271317,-0.09801366177352462,0.13472935689033652,-0.07647924988863918,-0.010674211115081243,0.18561410859507957,-0.09712388643967144
subject_num,2.1332880074176248e-16,1.0,2.281340134934745e-15,-1.0923441976938755e-15,0.1609077398932336,0.1303248939900305,0.12382682829397032,0.024605994306462178,0.08018941084099829,-0.14634050326683445,-0.18348572475509978,-0.10591205248189986,-0.007010700910327755,0.03047497653747864,0.15076369344002305,0.09708786425965077,0.15065632365347595,0.10918268730635326,0.12836353578073761,0.09727509159785871,-0.14379368710671034,0.08010366744891236,-0.2982496203034919
repetition,0.32905373805094806,2.281340134934745e-15,1.0,-1.2640551351078829e-17,-0.004444704923322587,-0.0025107623172989217,0.08659957126343404,0.18408381981987526,0.04054704818576245,-0.02613629272560877,-0.01378494068391841,0.02425370273394129,-0.021659854211768595,-0.003943778557558044,-0.0007950690924619488,-0.007792274917193175,-0.0020941286844001136,-0.012056363342040617,-7.260411844639515e-05,-0.00800521543066695,0.009911275802303094,0.06055716865045655,-0.014602638206797193
target_num,0.027637916154253962,-1.0923441976938755e-15,-1.2640551351078829e-17,1.0,-0.030501476947497868,-0.01702662815519747,-0.02792498119311398,-0.009466562051356719,0.007814879614158781,0.011766538983595224,0.020111029970353446,0.010584351039694847,-0.12881375880123264,0.12210044633113724,-0.008631210961975862,-0.014129724025689116,-0.024508645059130075,-0.035291364070507814,-0.013924075739474025,-0.01964404122279827,0.011282199897056712,-0.0035662203835543534,0.005317049165327989
mean_offset,0.13546194954644622,0.1609077398932336,-0.004444704923322587,-0.030501476947497868,1.0,0.8764355217833766,0.6625606810468427,0.32284518717637184,0.17986152243399953,-0.4900969640475045,-0.5497878037448705,-0.31433307064545,0.22924839878882944,-0.10524051120957598,0.8745011470019065,0.41800576640119125,0.9732498763848225,0.5296061081490834,0.8821580309274761,0.4139035473413856,-0.421944136011959,0.140711696188235,-0.2820862179497499
std_offset,0.12316338665700781,0.1303248939900305,-0.0025107623172989217,-0.01702662815519747,0.8764355217833766,1.0,0.5544405146901104,0.38101995666258265,0.071143910919922,-0.32817684774440414,-0.37033702958744363,-0.17690851920836928,0.23737114494118122,-0.13170315257665802,0.8947745680860171,0.49892812886282745,0.8518142457374822,0.45301511795049054,0.9651683452880798,0.5075902225646773,-0.2451288763887839,0.1015706072862131,-0.2414033656273948
overall_mean_offset,0.2621179880965779,0.12382682829397032,0.08659957126343404,-0.02792498119311398,0.6625606810468427,0.5544405146901104,1.0,0.7498109139909839,0.5978721727958725,-0.5692161927048381,-0.5865903689031072,-0.21717949135745532,0.12026617301162769,-0.06808474145628647,0.5714886873144073,0.19972626053616907,0.6560314134955411,0.30586620769400275,0.5673725426996064,0.20586099695223822,-0.38764825461756564,0.5566730581590359,-0.2760937141828848
overall_std_offset,0.2462651069669879,0.024605994306462178,0.18408381981987526,-0.009466562051356719,0.32284518717637184,0.38101995666258265,0.7498109139909839,1.0,0.3419306716393051,-0.21539863741215676,-0.2038852994040008,-0.007902549617973965,0.12380812253887663,-0.06669437197355282,0.34271438856041503,0.09066187628364616,0.3338224990413079,0.07490944715151118,0.37758767637954704,0.10321117859715916,-0.09069901329669235,0.44053333134867534,-0.08130016735832277
initial_contact_time,0.14554388157898004,0.08018941084099829,0.04054704818576245,0.007814879614158781,0.17986152243399953,0.071143910919922,0.5978721727958725,0.3419306716393051,1.0,-0.5602752868377348,-0.5140153004066703,-0.09850084550458743,-0.056557992339077205,0.003583178027295251,0.08833442852585685,-0.05526227097889276,0.18807108771455153,0.04392497048485791,0.08374296669896744,-0.033134262178191674,-0.29773148609048816,0.743945833395007,-0.22435139465327705
target_in_count,-0.019902942793763777,-0.14634050326683445,-0.02613629272560877,0.011766538983595224,-0.4900969640475045,-0.32817684774440414,-0.5692161927048381,-0.21539863741215676,-0.5602752868377348,1.0,0.7848177100223961,0.0064489113226269,0.01342661332970347,-0.017727317868848683,-0.41034516697487566,-0.13437837379842568,-0.48148463370493,-0.26783225493289475,-0.35541968944799807,-0.1402904766775441,0.3309037105213927,-0.28899623203376956,0.44180060195371323
target_in_total_time,-0.04155472301737843,-0.18348572475509978,-0.01378494068391841,0.020111029970353446,-0.5497878037448705,-0.37033702958744363,-0.5865903689031072,-0.2038852994040008,-0.5140153004066703,0.7848177100223961,1.0,0.5176376649837576,0.004218505673993435,0.002441939214898084,-0.4756091738933189,-0.2307012210952799,-0.5292152852839596,-0.34512628334084255,-0.39260754405198606,-0.21640580571170742,0.7409220498589463,-0.3306006636788178,0.38144365504066347
target_in_mean_time,-0.013553431601572621,-0.10591205248189986,0.02425370273394129,0.010584351039694847,-0.31433307064545,-0.17690851920836928,-0.21717949135745532,-0.007902549617973965,-0.09850084550458743,0.0064489113226269,0.5176376649837576,1.0,-0.008259799085370124,0.049726039278301264,-0.2566136624602895,-0.20742730840453016,-0.2860824931996941,-0.26297265153704324,-0.17942776691022752,-0.1782902559692362,0.8075280727717022,-0.1641546682921334,0.03819294269960575
mean_offset_horizontal,-0.032652167088117176,-0.007010700910327755,-0.021659854211768595,-0.12881375880123264,0.22924839878882944,0.23737114494118122,0.12026617301162769,0.12380812253887663,-0.056557992339077205,0.01342661332970347,0.004218505673993435,-0.008259799085370124,1.0,-0.03165056324446963,0.18262586995373192,0.054325622683277314,0.23206547104794922,0.08328121604119974,0.24541823123294215,0.0555596562642634,0.006100388975051879,-0.027121662735842867,0.03438335482180177
mean_offset_vertical,-0.16611502355868576,0.03047497653747864,-0.003943778557558044,0.12210044633113724,-0.10524051120957598,-0.13170315257665802,-0.06808474145628647,-0.06669437197355282,0.003583178027295251,-0.017727317868848683,0.002441939214898084,0.049726039278301264,-0.03165056324446963,1.0,-0.10131260166123465,-0.10700142303484567,-0.09383170102396388,-0.10122209303495952,-0.09939465838840561,-0.11271622319816706,0.02017737167106091,-0.040835748637481996,-0.03490471087458711
std_offset_horizontal,0.21141684349707496,0.15076369344002305,-0.0007950690924619488,-0.008631210961975862,0.8745011470019065,0.8947745680860171,0.5714886873144073,0.34271438856041503,0.08833442852585685,-0.41034516697487566,-0.4756091738933189,-0.2566136624602895,0.18262586995373192,-0.10131260166123465,1.0,0.278068425116179,0.8941497680853404,0.29871520182379924,0.9335110424423869,0.2724656267589468,-0.3406965044328723,0.0820171169395206,-0.3439328368508294
std_offset_vertical,-0.08939580830991861,0.09708786425965077,-0.007792274917193175,-0.014129724025689116,0.41800576640119125,0.49892812886282745,0.19972626053616907,0.09066187628364616,-0.05526227097889276,-0.13437837379842568,-0.2307012210952799,-0.20742730840453016,0.054325622683277314,-0.10700142303484567,0.278068425116179,1.0,0.24081400912608542,0.8517205862146859,0.31212322110154367,0.9768857082350713,-0.2133200354149126,0.056434966598890454,-0.0357787790927188
mean_abs_offset_horizontal,0.1711380511271317,0.15065632365347595,-0.0020941286844001136,-0.024508645059130075,0.9732498763848225,0.8518142457374822,0.6560314134955411,0.3338224990413079,0.18807108771455153,-0.48148463370493,-0.5292152852839596,-0.2860824931996941,0.23206547104794922,-0.09383170102396388,0.8941497680853404,0.24081400912608542,1.0,0.33161845588876915,0.89636558193234,0.23545501040387481,-0.39642937734362144,0.13588063890492436,-0.2987049906516048
mean_abs_offset_vertical,-0.09801366177352462,0.10918268730635326,-0.012056363342040617,-0.035291364070507814,0.5296061081490834,0.45301511795049054,0.30586620769400275,0.07490944715151118,0.04392497048485791,-0.26783225493289475,-0.34512628334084255,-0.26297265153704324,0.08328121604119974,-0.10122209303495952,0.29871520182379924,0.8517205862146859,0.33161845588876915,1.0,0.3217396304770436,0.8514051872909797,-0.3034951810748063,0.07943044208155699,-0.05917865934677108
std_abs_offset_horizontal,0.13472935689033652,0.12836353578073761,-7.260411844639515e-05,-0.013924075739474025,0.8821580309274761,0.9651683452880798,0.5673725426996064,0.37758767637954704,0.08374296669896744,-0.35541968944799807,-0.39260754405198606,-0.17942776691022752,0.24541823123294215,-0.09939465838840561,0.9335110424423869,0.31212322110154367,0.89636558193234,0.3217396304770436,1.0,0.30813365777370927,-0.25860697034519137,0.0935858012839893,-0.25192083537091275
std_abs_offset_vertical,-0.07647924988863918,0.09727509159785871,-0.00800521543066695,-0.01964404122279827,0.4139035473413856,0.5075902225646773,0.20586099695223822,0.10321117859715916,-0.033134262178191674,-0.1402904766775441,-0.21640580571170742,-0.1782902559692362,0.0555596562642634,-0.11271622319816706,0.2724656267589468,0.9768857082350713,0.23545501040387481,0.8514051872909797,0.30813365777370927,1.0,-0.18774000635554844,0.06370872809795215,-0.05838975968962878
longest_dwell_time,-0.010674211115081243,-0.14379368710671034,0.009911275802303094,0.011282199897056712,-0.421944136011959,-0.2451288763887839,-0.38764825461756564,-0.09069901329669235,-0.29773148609048816,0.3309037105213927,0.7409220498589463,0.8075280727717022,0.006100388975051879,0.02017737167106091,-0.3406965044328723,-0.2133200354149126,-0.39642937734362144,-0.3034951810748063,-0.25860697034519137,-0.18774000635554844,1.0,-0.24314947468621234,0.1677492906424399
movement_length,0.18561410859507957,0.08010366744891236,0.06055716865045655,-0.0035662203835543534,0.140711696188235,0.1015706072862131,0.5566730581590359,0.44053333134867534,0.743945833395007,-0.28899623203376956,-0.3306006636788178,-0.1641546682921334,-0.027121662735842867,-0.040835748637481996,0.0820171169395206,0.056434966598890454,0.13588063890492436,0.07943044208155699,0.0935858012839893,0.06370872809795215,-0.24314947468621234,1.0,-0.08138191658586047
walking_speed,-0.09712388643967144,-0.2982496203034919,-0.014602638206797193,0.005317049165327989,-0.2820862179497499,-0.2414033656273948,-0.2760937141828848,-0.08130016735832277,-0.22435139465327705,0.44180060195371323,0.38144365504066347,0.03819294269960575,0.03438335482180177,-0.03490471087458711,-0.3439328368508294,-0.0357787790927188,-0.2987049906516048,-0.05917865934677108,-0.25192083537091275,-0.05838975968962878,0.1677492906424399,-0.08138191658586047,1.0
